ID,Название,Проект,Окружение ,Серьезность,Приоритет,Предусловия,Шаги воспроизведения,Фактический результат,Ожидаемый результат,Вложения 
1,"Отображается 404 ошибка после нажатия на ссылку ""Forum""",Корпоративный сайт компании «VMedia» - https://www.vmedia.ca,"Windows 10 (64 bit), браузер 360 Extreme, расрешение экрана 1366 x 768",major,средний,"1. Открыт корпоративный сайт компании ""Vmedia""","1. Проскроллить вниз до футера;                                               2. Нажать на ссылку ""Forum"".",Отображается ошибка 404,Открытие страницы Форума сайта,https://drive.google.com/file/d/1JJr_tIRK2IXGKecXq1X6LMwmSYEbIi4P/view?usp=sharing
2,"Отображается 404 ошибка после нажатия на ссылку ""Forum""",Корпоративный сайт компании «VMedia» - https://www.vmedia.ca,"мобильное устройство SAMSUNG Galaxy A55 5G, ОС Android 14, браузер Google Chrome, разрешение экрана 2340x1080",major,средний,"1. Открыт корпоративный сайт компании ""Vmedia""","1. Проскроллить вниз до футера;                                               2. Нажать на ссылку ""Forum"".",Отображается ошибка 404,Открытие страницы Форума сайта,https://drive.google.com/file/d/1edhESYyhmMXY0VSqnUftUlul79AczDlQ/view?usp=sharing
3,"Задвоение категории Общие по ссылке ""News"" ",Корпоративный сайт компании «VMedia» - https://www.vmedia.ca,"Windows 10 (64 bit), браузер 360 Extreme, расрешение экрана 1366 x 768",minor,низкий,"1. Открыт корпоративный сайт компании ""Vmedia""","1. Проскроллить вниз до футера;                                               
2. Нажать на ссылку ""News"";                                                                                                   
3. Проскроллить до Categories.","В наименовании Categories по ссылке ""News"" отображено 2 категории с одинаковым наименованием General",Одна категория с наименованием General,https://drive.google.com/file/d/1wagir86bovfok3ty0oJ2TWW88egwY9ac/view?usp=sharing
4,"Задвоение категории Общие по ссылке ""News"" ",Корпоративный сайт компании «VMedia» - https://www.vmedia.ca,"мобильное устройство SAMSUNG Galaxy A55 5G, ОС Android 14, браузер Google Chrome, разрешение экрана 2340x1080",minor,низкий,"1. Открыт корпоративный сайт компании ""Vmedia""","1. Проскроллить вниз до футера;                                               
2. Нажать на ссылку ""News"";                                                                                                   
3. Проскроллить до Categories.","В наименовании Categories по ссылке ""News"" отображено 2 категории с одинаковым наименованием General",Одна категория с наименованием General,https://drive.google.com/file/d/12tfBbiXrmR8z1075JNoL8OvxiQ2dZiZb/view?usp=sharing
5,"Отображается ошибка Сетевого подключения после нажатия на ссылку ""Twitter""",Корпоративный сайт компании «VMedia» - https://www.vmedia.ca,"Windows 10 (64 bit), браузер 360 Extreme, расрешение экрана 1366 x 768",major,средний,"1. Открыт корпоративный сайт компании ""Vmedia""","1. Проскроллить вниз до футера;                                               
2. Нажать на ссылку иконки ""Twitter"".",Отображается ошибка Сетевого подключения,Открытие сайта VMedia в Twitter,https://drive.google.com/file/d/17cf00MSHxIb2hp_0c7nc4KQdQAMKJvfg/view?usp=sharing
6,"Отображается ошибка Сетевого подключения после нажатия на ссылку ""Twitter""",Корпоративный сайт компании «VMedia» - https://www.vmedia.ca,"мобильное устройство SAMSUNG Galaxy A55 5G, ОС Android 14, браузер Google Chrome, разрешение экрана 2340x1080",major,средний,"1. Открыт корпоративный сайт компании ""Vmedia""","1. Проскроллить вниз до футера;                                               
2. Нажать на ссылку иконки ""Twitter"".","1. Отображается страница Входа в систему через Google, Apple аккаунты, с помощью номера телефона, электронной почты, имени пользователя. 
",Открытие сайта VMedia в Twitter,https://drive.google.com/file/d/1YH0rI3VPK7cgFEhXxsWGEzXOLUN6AkKN/view?usp=sharing
7,"Отображается ошибка Сетевого подключения после нажатия на ссылку ""Facebook""",Корпоративный сайт компании «VMedia» - https://www.vmedia.ca,"Windows 10 (64 bit), браузер 360 Extreme, расрешение экрана 1366 x 768",major,средний,"1. Открыт корпоративный сайт компании ""Vmedia""","1. Нажать на ссылку ""Facebook"" в левом верхнем углу",Отображается ошибка Сетевого подключения,Открытие сайта VMedia в Facebook,https://drive.google.com/file/d/1bN_IFTxwwc7RcrUltSuNt267BhAaQ80g/view?usp=sharing
8,"Отображается ошибка Сетевого подключения после нажатия на ссылку ""Facebook""",Корпоративный сайт компании «VMedia» - https://www.vmedia.ca,"мобильное устройство SAMSUNG Galaxy A55 5G, ОС Android 14, браузер Google Chrome, разрешение экрана 2340x1080",major,средний,"1. Открыт корпоративный сайт компании ""Vmedia""","1. Проскроллить вниз до футера;                                               
2. Нажать на ссылку иконки ""Facebook"".",Отображается ошибка Сетевого подключения,Открытие сайта VMedia в Facebook,https://drive.google.com/file/d/1ms68IfnTgyakANPmbgPCGDEbwdnWWob_/view?usp=sharing
